1Clothes
shoes
shirt
underwear
socks
sweater
bra
pants
coat
dress

1Family
mother
sister
grandpa
wife
daughter
husband
grandma
brother
father
son

1Modes
truck
car
motorcycle
train
boat
plane
van
bus
walk
bicycle

1Places
neighborhood
school
store
laundromat
clinic
bank
block
library
hospital
post office

1Rooms
bathroom
kitchen
living room
bedroom
ceiling
dining room
closet
hall
floor
wall

1Work
farm
bus
hospital
office
store
garage
factory
school

2Colors
yellow
purple
brown
orange
blue
gray
red
green
black

2Describing
short
young
thin
old
happy
sad
tall
sick
heavy

2Furniture
chair
couch
table
lamp
bedroom
dresser
mirror
TV
rug
clock

2Jobs
office worker
driver
cashier
factory worker
doctor
mechanic
farmer
manager
teacher
janitor

2Places
bank
police station
library
store
hospital
school
post office
home

2Things
wash clothes
get an x-ray
get a book
take a class
make a deposit
mail a letter
buy food
see a doctor

3Jobs
teach a class
use a computer
give medicine
drive the bus
clean the room
fix cars
grow food
count money

3School
baby
high school
college
pregnant
adults
preschool
elementary
middle school

3Settings
low
on
stove
fan
high
off
heat
medium
microwave
AC

3Signs
closed
open
exit
no smoking
left
right
up
down
men
women

3Sizes
shopping
small
too long
medium
too short
extra large
too big
large

3Traffic
bus stop
walk
no smoking
stop
school crossing
men’s restroom
women’s restroom
don’t walk

4Jobs
newspaper
help wanted
computer
job
call
apply
interview
part time
full time
ask

4Directions
up
down
in
right
left
out
across
straight

4Emergency
fire truck
help
thief
ambulance
accident
firefighter
fire
officer

4Problems
toilet
window
broken
sink
tub
door
locked
fridge
shower
leaking

4School
backpack
computer
glue
folder
pencil
notebook
whiteboard
scissors
marker
eraser

4Weather
sandals
scarf
shorts
boots
umbrella
hat
swimming suit
mittens

5CIty
vote
flag
capitol
county
city
state
country
president

5Interviews
signature
date
social security number
address
name
phone number
interview
handshake

5Shopping
backpack
right
downstairs
left
front
upstairs
men
women

5Taking
transfer
cord
fare
wait
handicapped
wait
no food
no music

5Teacher
point
look
show me
copy
color
write
circle
read
listen
say
